date	Stock	Open	Low	Close	Volume	30_day_MA	60_day_MA	90_day_MA	30_day_MA	60_day_MA	90_day_MA	SMA_30	SMA_60	SMA_90	EMA_30	EMA_60	EMA_90	RSI	EMA_12	EMA_26	MACD	Signal_Line	MACD_Histogram	Price_Change_Pct	Article Length	article_sentiment
3/6/2019	MSFT	112.6600037	111.4300003	111.75	17687000	105.3206665	106.2831665	108.3378888	105.3206665	106.2831665	108.3378888	105.3206665	106.2831665	108.3378888	107.2423356	106.9590649	106.7213652	84.41690655	109.3532461	107.4588719	1.894374256	1.136924895	0.757449361	0.044765491	237	1
3/7/2019	MSFT	111.5500031	109.8700027	110.3899994	25339000	105.5439997	106.2729998	108.3047776	105.5439997	106.2729998	108.3047776	105.5439997	106.2729998	108.3047776	107.4454107	107.0715545	106.8019945	74.02713164	109.5127466	107.6759924	1.8367542	1.276890756	0.559863444	-1.217002783	824	1
3/7/2019	MSFT	111.5500031	109.8700027	110.3899994	25339000	105.767333	106.3044998	108.2716665	105.767333	106.3044998	108.2716665	105.767333	106.3044998	108.2716665	107.6353842	107.180356	106.8808518	74.02713164	109.6477086	107.87703	1.770678609	1.375648327	0.395030283	-1.217002783	1182	2
3/7/2019	MSFT	111.5500031	109.8700027	110.3899994	25339000	105.9906662	106.3359998	108.2385553	105.9906662	106.3359998	108.2385553	105.9906662	106.3359998	108.2385553	107.8131013	107.2855902	106.9579759	74.02713164	109.7619072	108.0631759	1.69873131	1.440264923	0.258466387	-1.217002783	258	4
3/8/2019	MSFT	110.7099991	108.8000031	110.5100021	22818400	106.2179995	106.3668331	108.2067775	106.2179995	106.3668331	108.2067775	106.2179995	106.3668331	108.2067775	107.9870949	107.3913086	107.0360424	78.89733537	109.8769987	108.2444223	1.632576451	1.478727229	0.153849222	0.108707987	389	3
3/12/2019	MSFT	113.9899979	112.6500015	113.6200027	26132700	106.6216662	106.4333332	108.2095553	106.6216662	106.4333332	108.2095553	106.6216662	106.4333332	108.2095553	108.3505083	107.5955281	107.1807448	80.12533511	110.4528455	108.6426134	1.810232078	1.545028199	0.26520388	0.700169195	395	4
3/12/2019	MSFT	113.9899979	112.6500015	113.6200027	26132700	107.2713331	106.4998333	108.2123331	107.2713331	106.4998333	108.2123331	107.2713331	106.4998333	108.2123331	108.6904757	107.7930519	107.322267	80.70334875	110.9401005	109.0113089	1.928791535	1.621780866	0.307010669	0.700169195	613	1
3/13/2019	MSFT	115	113.7799988	114.5	35513800	107.7359998	106.6773333	108.2248886	107.7359998	106.6773333	108.2248886	107.7359998	106.6773333	108.2248886	109.0652837	108.0129518	107.4800193	82.12197852	111.4877773	109.4178786	2.069898678	1.711404428	0.35849425	0.774509094	222	2
3/13/2019	MSFT	115	113.7799988	114.5	35513800	108.1669998	106.8055	108.2511108	108.1669998	106.8055	108.2511108	108.1669998	106.8055	108.2511108	109.4159106	108.2256419	107.6343046	81.98653296	111.9511962	109.7943321	2.156864119	1.800496367	0.356367753	0.774509094	467	1
3/13/2019	MSFT	115	113.7799988	114.5	35513800	108.6129997	106.922	108.2773331	108.6129997	106.922	108.2773331	108.6129997	106.922	108.2773331	109.7439163	108.4313586	107.785199	79.73484958	112.3433198	110.1429001	2.200419788	1.880481051	0.319938737	0.774509094	1126	1
3/14/2019	MSFT	115.1999969	114.3300018	114.5899963	30763400	109.0349996	107.0399999	108.3045553	109.0349996	107.0399999	108.3045553	109.0349996	107.0399999	108.3045553	110.0565666	108.6332811	107.934755	70.60439906	112.6889624	110.4723146	2.216647786	1.947714398	0.268933388	0.078599422	576	1
3/19/2019	MSFT	118.4400024	116.9899979	117.6500015	37588700	109.4809998	107.1383333	108.3538886	109.4809998	107.1383333	108.3538886	109.4809998	107.1383333	108.3538886	110.5464657	108.9289113	108.1482769	78.38384788	113.4521992	111.0039951	2.448204064	2.047812331	0.400391733	0.068046127	829	2
3/20/2019	MSFT	118.75	116.7099991	117.5199966	28113300	109.9449997	107.3158332	108.4017775	109.9449997	107.3158332	108.4017775	109.9449997	107.3158332	108.4017775	110.9963709	109.2105862	108.3542488	76.18045387	114.0780142	111.4866619	2.591352279	2.156520321	0.434831958	-0.110501386	672	1
3/21/2019	MSFT	120.8199997	117.0899963	120.2200012	29854400	110.4396665	107.5314999	108.4964442	110.4396665	107.5314999	108.4964442	110.4396665	107.5314999	108.4964442	111.5914438	109.5715506	108.6150346	86.98686546	115.0229353	112.1335759	2.889359339	2.303088124	0.586271215	2.297485241	324	2
3/21/2019	MSFT	120.8199997	117.0899963	120.2200012	29854400	110.9343333	107.7471666	108.5911109	110.9343333	107.7471666	108.5911109	110.9343333	107.7471666	108.5911109	112.1481249	109.9206802	108.8700888	86.98686546	115.8224839	112.7325704	3.089913482	2.460453196	0.629460286	2.297485241	1309	4
3/26/2019	MSFT	118.7099991	116.8499985	117.9100037	26097700	111.3520002	107.9243333	108.660111	111.3520002	107.9243333	108.660111	111.3520002	107.9243333	108.660111	112.5198591	110.1826252	109.0687682	80.32257548	116.1436408	113.116084	3.027556798	2.573873916	0.453682882	0.212476621	598	5
3/29/2019	MSFT	118.3199997	116.9599991	117.9400024	25399800	111.7806669	108.1463333	108.7086666	111.7806669	108.1463333	108.7086666	111.7806669	108.1463333	108.7086666	112.8695457	110.4369654	109.2637404	80.37006529	116.4200041	113.4734113	2.946592839	2.648417701	0.298175138	0.86376647	488	1
4/1/2019	MSFT	119.1100006	118.0999985	119.0199966	22789100	112.2453334	108.3863332	108.7692221	112.2453334	108.3863332	108.7692221	112.2453334	108.3863332	108.7692221	113.266349	110.7183763	109.4781636	81.939289	116.8200029	113.8842694	2.935733516	2.705880864	0.229852652	0.915714922	788	2
